A.ADM1	политико-административное деление первого порядка	первоначальное политико-административное  деление, например, деление США на штаты
S.LOCK	шлюз	гидротехническое сооружение между водоёмами с различными уровнями воды, позволяющее переводить суда из одного водоёма в другой
S.LTHSE	световой маяк	сооружение башенного типа, служащее ориентиром для опознавания берегов, определения места судна и предупреждения о навигационной опасности
S.MALL	торговый центр	группа разнородных торговых предприятий, сосредоточенных в одном месте, функционирующих и управляемых как единый, целостный объект
S.MAR	пристань	специально оборудованное место, сооружение для причаливания и стоянки лодок, яхт и т.д.
S.MFG	завод	промышленное или крупное промысловое предприятие, или комплекс предприятий
S.MFGB	пивоварня	предприятие по производству пива
S.MFGC	консервный завод	предприятие по производству консерв
S.MFGCU	медеплавильный завод	предприятие по переработке медной руды
S.MFGLM	известеобжигательная печь	печь для обжига извести
S.MFGM	оружейный завод	предприятие по производству оружия
S.MFGPH	фосфатный завод	предприятие по производству удобрений
S.MFGQ	покинутый завод	
S.MFGSG	рафинадный завод	завод по переработки сахарного тростника в рафинад
S.MKT	рынок	место торговли, на котором встречаются продавцы и покупатели
S.ML	фабрика	промышленное предприятие, обрабатывающее сырье машинным способом
S.MLM	завод по переработке руды	предприятие, которое занимается отделением друг от друга входящих в состав руды металлов
S.MLO	завод по производству оливкового масла	предприятие, которое занимается переработкой оливок и получением из них оливкового масла.
S.MLSG	сахарный завод	предприятие, которое занимается переработкой сахарного тростника в нерафинированный сахар
S.MLSGQ	бывший сахарный завод	сахарный завод, прекративший свою работу
S.MLSW	лесопильный завод	изготовление пиломатериалов (брусьев и досок) из брёвен
S.MLWND	ветряная мельница	аэродинамический механизм, который выполняет механическую работу за счет энергии ветра, улавливаемой крыльями мельницы. Наиболее известным применением ветряных мельниц является их использование для помола муки
S.MLWTR	водяная мельница	гидротехнические сооружение, использующее гидроэнергию, получаемую с водяного колеса, движение которого выполняет полезную работу посредством зубчатой передачи
S.MN	шахта	горнопромышленное предприятие, ведущее добычу полезных ископаемых подземным способом; место проведения подземных работ
S.MNAU	золотопромышленный рудник	предприятие, осуществляющее добычу золота или золотой руды
S.MNC	угольная шахта	горнопромышленное предприятие, ведущее добычу угля подземным способом
S.MNCR	шахта по добыче хрома	горнопромышленное предприятие, ведущее добычу хрома подземным способом
S.MNCU	медный рудник	горнопромышленное предприятие, осуществляющее добычу меди
S.MNFE	железный рудник	горнопромышленное предприятие, осуществляющее добычу железа
S.MNMT	памятник	архитектурное или скульптурное сооружение в память какого-л. лица, события
S.MNN	соляная шахта	горнопромышленное предприятие, осуществляющее добычу солей
S.MNQ	заброшенная шахта	
S.MNQR	карьер	место открытой разработки неглубоко залегающих полезных ископаемых (угля, песка, глины и т.п.)
S.MOLE	волнолом	гидротехническое сооружение для защиты места стоянки судов или берега от разрушительного действия волн
S.MSQE	мечеть	у мусульман: молитвенный дом
S.MSSN	резиденция миссионеров	жилые дома, больница, школа, принадлежащие религиозной организации, которая занимается благотворительностью и распространением собственной религии среди инаковерующих
S.MSSNQ	заброшенная резиденция миссионеров	
S.MSTY	мужской монастырь	религиозная община монахов, представляющая собой церковно-хозяйственную организацию, владеющую землями и капиталами
S.MTRO	станция метро	пункт остановки электропоездов в  метрополитене
S.MUS	музей	учреждение, собирающее, хранящее и выставляющее на обозрение памятники истории, искусства, культуры, науки, техники и других областей, сфер деятельности общества; помещение такого учреждения
S.NOV	дом послушничества	религиозный дом, где учатся послушники, готовящиеся стать монахами
S.NSY	теплица	тёплое с покрытием из прозрачного материала помещение для выращивания ранних овощей, цветов, теплолюбивых растений; оранжерея
S.OBPT	наблюдательный пункт	специально оборудованное место, с которого ведётся наблюдение за действиями противника и своих войск
S.OBS	обсерватория	научное учреждение, ведущее астрономические и геофизические наблюдения и исследования; здание, специально оборудованное для таких наблюдений
S.OBSR	радиообсерватория	учреждение, оборудованное антеннами для приема радиоволн из Космоса
S.OILJ	место соединение нескольких нефтепроводов	участок нефтепровода, на котором происходит соединение двух или более трубопроводов
S.OILQ	заброшенная нефтяная скважина	
S.OILR	нефтеперерабатывающий завод	предприятие, которое занимается переработкой нефти в бензин, авиационный керосин, мазут, дизельное топливо, смазочные масла, смазки, битумы, нефтяной кокс сырьё для нефтехимии
S.OILT	нефтехранилище	промышленный объект для хранения нефти или нефтепродуктов
S.OILW	нефтяная скважина	вертикальная горная выработка круглого сечения, предназначенная для разведки либо добычи нефти и попутного газа
S.OPRA	оперный дом	театр; оперная труппа театра
S.PAL	дворец	здание, являющееся жилищем, постоянным местопребыванием царствующей особы, главы государства, а также членов царствующей семьи
S.PGDA	пагода	в Китае, Японии и некоторых других странах: культовое мемориальное буддийское сооружение
S.PIER	пирс	двусторонний причал, выдающийся в акваторию порта и предназначенный для швартовки судов с двух сторон
S.PKLT	автостоянка	место для парковки автотранспорта
S.PMPO	нефтеперекачивающая станция	станция, предназначенная для перекачки нефти через трубопроводы
S.PMPW	водокачка	специальное здание для насосов, перекачивающих воду из водоёма к местам её использования
S.PO	почта	учреждение связи, ведающее пересылкой писем, периодических изданий, посылок, денег и т.п.; здание, помещение, где находится это учреждение
S.PP	милицейский пост	здание, в котором располагается пост милиции
S.PPQ	заброшенный полицейский пост	
S.PRKGT	ворота парка	вход в парк, запираемый створами
S.PRKHQ	администрация парка	здание, в котором располагается администрация парка
S.PRN	тюрьма	место заключения, здание, где содержатся лица, приговорённые судом к лишению свободы; лица, находящиеся под следствием
S.PRNJ	колония для несовершеннолетних	исправительно-трудовое учреждение, в котором отбывают наказание лица до 18 лет, осуждённые к лишению свободы
S.PRNQ	заброшенная тюрьма	
S.PS	электростанция	предприятие, где производится электроэнергия из других видов энергии
S.PSH	гидроэлектростанция	электростанция, преобразующая энергию падающей воды в электроэнергию (сокращённо ГЭС)
S.PSTB	пограничный пост	пост, ведающий контролем  передвижения через международную границу людей и товаров
S.PSTC	таможенный пост	пост, ведающий контролем провоза через границу грузов, багажа, почты и собирающее пошлину за такой провоз
S.PSTP	патрульный пост	вид наряда, который используется для несения патрульно-постовой службы
S.PYR	пирамида	В Древнем Египте: массивное сооружение из каменных блоков с четырёхугольным основанием и сходящимися к вершине боковыми гранями, служившее гробницей фараона
S.PYRS	пирамиды	В Древнем Египте: массивные сооружения из каменных блоков с четырёхугольным основанием и сходящимися к вершине боковыми гранями, служившие гробницей фараона
S.QUAY	причал	стоянка для судов; специальное сооружение, к которому причаливают суда
S.RDCR	traffic circle	a road junction formed around a central circle about which traffic moves in one direction only
S.RECG	поле для гольфа	место для отдыха, где находится поле, предназначенное для игры в гольф
S.RECR	ипподром	специально оборудованный участок для конных бегов, скачек и состязаний, представляющий собой площадь овальной формы с амфитеатром для зрителей
S.REST	ресторан	торговое заведение, где можно вкусно поесть и приятно провести время (иногда с музыкой, танцами и т.п.)
S.RET	store	a building where goods and/or services are offered for sale
S.RHSE	дом отдыха	лечебно-профилактическое учреждение для лечения и отдыха
S.RKRY	лежбище	место, где лежат стадами некоторые морские животные
S.RLG	религиозная святыня	место религиозного поклонения
S.RLGR	приют	жилище, где кто-л. чувствует себя безопасно, уютно и спокойно; пристанище, прибежище для бездомных или одиноких, нуждающихся людей
S.RNCH	ранчо	крупная ферма, основной специализацией которой является разведение крупного рогатого скота
S.RSD	запасный железнодорожный путь	короткая железная дорога, параллельная и примыкающая к главной железной дороге
S.RSGNL	железнодорожный сигнал	сигнал для передачи приказов и указаний, обеспечивающих безопасность движения поездов, маневровых работ
S.RSRT	курорт	местность с целебными природными свойствами, используемая для лечебных целей и для отдыха
S.RSTN	ж/д вокзал	здание или комплекс зданий для обслуживания пассажиров и размещения служб на железнодорожных станциях
S.RSTNQ	заброшенный вокзал	
S.RSTP	остановка поезда	пункт, место, установленные для посадки и высадки пассажиров электропоезда
S.RSTPQ	заброшенная остановка	
S.RUIN	руины	развалины какого-л. строения, сооружения
S.SCH	школа	учебное заведение, которое осуществляет общее образование и воспитание молодого поколения; здание, в котором помещается это заведение
S.SCHA	сельскохозяйственная школа	школа, в учебном плане которой сделан акцент на изучение сельскохозяйственных наук
S.SCHC	колледж	в Англии, США и некоторых других странах: высшее или среднее учебное заведение
S.SCHL	языковая школа	языковые учебные заведения
S.SCHM	военное училище	военное образовательное учреждение высшего и среднего профессионального образования
S.SCHN	военно-морское училище	военно-учебное заведение для подготовки офицеров военно-морского флота (ВМФ)
S.SCHT	техническое училище	школа, предоставляющая профессионально-техническое образование
S.SECP	центр подготовки к государственному экзамену	центры по подготовке к сдаче государственного экзамена
S.SHPF	овчарня	хлев, загон для овец
S.SHRN	рака	в христианской церкви: большой ларец (в виде гробницы или саркофага), в котором хранятся мощи святого
S.SHSE	склад	специальное помещение для хранения товаров, сырья, оборудования и т.п.
S.SLCE	шлюз	гидротехническое сооружение между водоёмами с различными уровнями воды, позволяющее переводить суда из одного водоёма в другой
S.SNTR	санаторий	лечебно-профилактическое учреждение для лечения и отдыха
S.SPA	спа	курорт с минеральным источником
S.SPLY	водослив	водосброс, осуществляющийся путём свободного перелива воды через гребень плотины
S.SQR	площадь	незастроенное, обрамлённое какими-л. зданиями, зелёными насаждениями место в пределах города или села, составляющее часть городского, сельского пространства
S.STBL	конюшня	помещение для содержания лошадей, обычно представляет собой постройку, разделённую на индивидуальные для каждой лошади секции, которые называются денниками
S.STDM	стадион	комплексное спортивное сооружение со специально оборудованными площадками для состязаний, тренировок, вспомогательными помещениями и трибунами для зрителей
S.STNB	научно-исследовательская база	помещение, которое используется в качестве базы для проведения различных научных исследований
S.STNC	пост береговой охраны	пункт, с которого вооруженные корабли ведут охрану береговой линии
S.STNE	испытательная станция	место проведения различного рода испытаний
S.STNF	лесничество	хозяйственные строения, в которых располагается управление лесным участком
S.STNI	контрольно-пропускной пункт	место досмотра вещей и обыска людей
S.STNM	метеорологическая станция	учреждение, которое проводит регулярные наблюдения за состоянием атмосферы
S.STNR	радиостанция	комплекс устройств для передачи информации посредством радиоволн и (или) её приёма
S.STNS	орбитальная станция	космический аппарат, предназначенный для долговременного пребывания людей на околоземной орбите с целью проведения научных исследований в условиях космического пространства, разведки, наблюдений за поверхностью и атмосферой планеты, астрономических наблюдений, и т.п.
S.STNW	китобойная станция	место забоя китов
S.STPS	крыльцо	пристройка перед входом в дом, состоящая из площадки и лестницы, иногда под навесом
S.SWT	очистное сооружение	комплекс инженерных сооружений в системе канализации населённого места или промышленного предприятия, предназначенный для очистки
S.THTR	театр	учреждение, организация, занимающиеся устройством представлений
S.TMB	могила	яма для погребения умершего
S.TMPL	храм	здание, предназначенное для совершения богослужений и религиозных обрядов
S.TNKD	макательная ванна для крупного рогатого скота	искусственный водоем со специальным химическим раствором; в этот водоем опускают крупный рогатый скот для профилактики от опасных заболеваний
S.TOWR	башня	высокое узкое архитектурное или инженерное сооружение (круглой, четырёхгранной или многогранной формы) различного назначения
S.TRANT	перевалочная база/станция пересадки	станция для перегрузки материалов с одного вида транспорта на другой и для пересадки пассажиров
S.TRIG	триангуляционный пост	опорный геодезический пункт, созданный методом триангуляции (геодезия)
S.TRMO	конечный пункт нефтепровода	нефтебаза или нефтеналивная станция в конце нефтепровода
S.TWO	биржа труда	учреждение, осуществляющее посредничество между предпринимателями и наёмными работниками
S.UNIP	подготовительные курсы	подготовительные курсы для поступления в высшее учебное заведение
S.UNIV	университет	высшее учебно-научное заведение с различными гуманитарными и естественно-математическими отделениями (факультетами)
S.USGE	представительство США в Панаме	учреждение, которое находится под контролем правительства США в Панаме
S.VETF	ветеринарная клиника	больница, где лечат животных
S.WALL	стена	вертикальная часть здания, служащая для поддержания перекрытий и разделения помещения на части
S.WALLA	античная стена	руины защитного сооружения, построенного из камня
S.WEIR	плотина	гидротехническое сооружение, перегораживающее водоток для подъёма воды в реке, создания водохранилища или электростанции
S.WHRF	пристань	специально оборудованное место, сооружение для причаливания и стоянки судов
S.WRCK	обломки разбитого судна	остатки кораблекрушения, выброшенные морем на берег
S.WTRW	водопроводная станция	система наносов и очистных сооружений, сквозь которые проходит вода, используемая в дальнейшем для питья и технических целей
S.ZNF	зона свободной торговли	территория, на которой не взимаются таможенные пошлины, налоги и сборы с пересекающих границу иностранных товаров
S.ZOO	зоопарк	зоологический парк, где содержат диких животных с целью их демонстрации
T.ASPH	асфальтовое озеро	небольшой бассейн, который вместо воды заполнен природным асфальтом
T.ATOL	атолл	коралловый остров кольцеобразной формы с мелководной лагуной внутри (преимущественно в Индийском и Тихом океанах)
T.BAR	бар	наносная мель у морских берегов (обычно в устье реки)
T.BCH	пляж	отлогий намывной берег, удобный для купания и принятия солнечных ванн
T.BCHS	пляжи	отлогие намывные берега, удобные для купания и принятия солнечных ванн
T.BDLD	бесплодная земля	неплодородная эродированная сильнопересечённая местность
T.BLDR	завалуненное поле	равнинная местность, покрытая большими углообразными валунами
T.BLHL	blowhole	a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air
T.BLOW	развеянная дюна	небольшое углубление на песчаной местности, образовавшееся в результате эрозии
T.BNCH	выступ, имеющий вид ступени или террасы	выдающаяся вперед часть горного массива (обычно над водой), имеющая вид ступени или террасы
T.BUTE	крутой холм на равнине	небольшая  возвышенность округлой или овальной формы с крутым склоном
T.CAPE	мыс	часть суши, острым углом вдающаяся в водное пространство (море, озеро, реку)
T.CFT	расщелина	узкое ущелье в горах
T.CLDA	кальдера	котлообразная впадина с крутыми склонами и ровным дном, образовавшаяся вследствие провала вершины вулкана, а иногда и прилегающей к нему местности
T.CLF	утес	отвесная скала
T.CNYN	каньон	глубокая речная долина с очень крутыми или отвесными склонами
T.CONE	конус вулкана	рельеф канонической формы, образованный из вулканогенного материала и покрытый грязью
T.CRDR	коридор	узкое длинное пространство, проход, ограниченные с обеих сторон
T.CRQ	цирк	естественное чашеобразное углубление в привершинной части горы (обычно со скалистыми или покрытыми льдом, снегом стенами)
T.CRQS	цирки	естественные чашеобразные углубления в привершинной части горы (обычно со скалистыми или покрытыми льдом, снегом стенами)
T.CRTR	кратер	углубление на вершине вулкана, из которого при извержении выливается лава
T.CUET	куэста	наклонная равнина, круто обрезанная с одной стороны
T.DLTA	дельта реки	устье большой реки с его разветвлениями на отдельные рукава и прилегающая к нему суша
T.DPR	впадина	понижение земной поверхности в пределах суши, на дне океанов и морей
T.DSRT	пустыня	обширная засушливая область с небольшим количеством осадков, резкими колебаниями воздуха и почвы и скудной растительностью
T.DUNE	дюна	песчаный холм или их группа, образованные ветром на слабо закреплённых растительностью песчаных массивах
T.DVD	водораздел	возвышенная местность между бассейнами рек, разделяющая их
T.ERG	песчаная пустыня	тип пустынь с песчаной поверхностью
T.FAN	конус выноса	форма рельефа, имеющая вид слабовыпуклого полуконуса, образованного скоплением рыхлого обломочного материала (аллювия) в устьевой части временных водных потоков и небольших рек или при выходе их из гор на предгорные равнины или из ущелий в более широкую долину
T.FORD	брод	мелкое место во всю ширину реки, озера и т.п., удобное для перехода, переезда
T.FSR	расселина	глубокая трещина, узкое ущелье в горной породе, в земле
T.GAP	пропасть	крутой, глубокий обрыв, очень глубокая расселина, бездна
T.GRGE	ущелье	узкая крутосклонная долина (обычно в пределах горной страны), промытая рекой в твёрдых коренных породах
T.HDLD	возвышенный мыс	часть суши, острым углом вдающаяся в водное пространство (море, озеро, реку)
T.HLL	холм	небольшая отлогая горка, возвышенность округлой или овальной формы с пологими склонами
T.HLLS	холмы	небольшие отлогие горки, возвышенности округлой или овальной формы с пологими склонами
T.HMCK	торос	ледяная глыба, образовавшаяся при сжатии льдов на северных морях и реках
T.HMDA	каменистая пустыня	тип пустыни, развитой на слабовыветренных коренных породах плато низкогорий и мелкосопочника, покрытых щебнем и галькой (поверхность К. п. почти лишена почвенно-растительного покрова, животный компонент типично пустынный)
T.INTF	междуречье	местность, расположенная между двумя реками
T.ISL	остров	часть суши, со всех сторон окружённая водой
T.ISLET	islet	small island, bigger than rock, smaller than island.
T.ISLF	искусственный остров	искусственный остров (для разработки морских месторождений нефти и газа)
T.ISLM	мангровый остров	мангровое болото, окруженное водой
T.ISLS	острова	части суши, со всех сторон окружённые водой
T.ISLT	соединяющийся с материком остров	побережье острова, соединенное с материком посредством вырытого рва, траншеи или дамбы
T.ISLX	участок острова	
T.ISTH	перешеек	полоса суши, соединяющая два материка или материк с полуостровом и т.п., разделённые водой
T.KRST	карстовый район	ландшафт, образованный деятельностью подземных вод на участках суши, поверхность которых сложена растворимыми горными породами: известняками, гипсом, каменной солью и др.
T.LAVA	район застывшей лавы	an area of solidified lava
T.LEV	плотина	гидротехническое сооружение, перегораживающее водоток для подъёма воды в реке, создания водохранилища или электростанции
T.MESA	плоскогорье	обширная возвышенность с равнинной или холмистой поверхностью
T.MND	бугор	холм, горка
T.MRN	морена	скопление обломков горных пород, образуемое на границе передвижения и таяния ледников
T.MT	гора	Значительная возвышенность, поднимающаяся над окружающей местностью
T.MTS	горы	значительные возвышенности, поднимающиеся над окружающей местностью
T.NKM	шейка меандра	узкий участок суши между двумя краями излучины реки; самая узкая часть меандра реки
T.NTK	нунатак	изолированный скалистый пик, горный гребень или холм, выступающий над ледниковой поверхностью
T.NTKS	нунатаки	изолированные скалистые пики, горные гребни или холмы, выступающие над ледниковой поверхностью
T.PAN	котловина	большое углубление, впадина в земной поверхности с покатым спуском со всех сторон
T.PANS	котловины	большие углубления, впадины в земной поверхности с покатым спуском со всех сторон
T.PASS	дефиле	ущелье, узкий, тесный проход между возвышенностями или водными преградами (в котором можно остановить противника)
T.PEN	полуостров	часть суши, с трёх сторон омываемая водой, а четвёртой стороной примыкающая к материку или острову
T.PENX	участок полуострова	
T.PK	пик	остроконечная горная вершина или высшая точка горной вершины вообще
T.PKS	пики	остроконечные горные вершины
T.PLAT	плато	возвышенная равнина, ограниченная чётко выраженными уступами, крутыми склонами
T.PLATX	участок плато	
T.PLDR	польдер	осушенный участок моря или другого водоёма
T.PLN	равнина	обширный участок суши без значительных повышений и понижений поверхности
T.PLNX	участок равнины	
T.PROM	промонторий	выступ, мыс
T.PT	выступающая морская коса	длинная узкая отмель, идущая от берега, или низменный узкий мыс
T.PTS	выступающие морские косы	длинные узкие отмели, идущие от берега, или низменные узкие мысы
T.RDGB	гребень косы	песчаная гряда, находящаяся на суше или идущая параллельно пляжу
T.RDGE	горный хребет	ряд гор, тянущихся в одном направлении, горная цепь
T.REG	гаммада	каменистая пустыня
T.RK	скала	каменная глыба, утёс с крутыми склонами и острыми выступами
T.RKFL	камнепад	камни, низвергающиеся с гор лавиной
T.RKS	скалы	остроконечные горные вершины или высшие точки горной вершины вообще
T.SAND	район песков	территория, покрытая песками
T.SBED	высохшее речное русло	углубление в почве, по которому ранее текла вода
T.SCRP	откос	покатая поверхность горы, холма и т.п.; склон
T.SDL	седловина	продолговатая впадина, понижение между вершинами горного хребта или возвышенности
T.SHOR	побережье	полоса земной поверхности по обе стороны береговой линии моря, озера, водохранилища
T.SINK	карстовая воронка	отрицательная форма рельефа, замкнутая впадина чашеобразной, конической или другой формы, диаметром до 50 метров, глубиной до 15 (иногда до 200) метров
T.SLID	горка	естественное или специально сооруженное возвышение для спуска на лыжах, санках и т.п.
T.SLP	склон	наклонная поверхность, скат (горы, холма и т.п.)
T.SPIT	стрелка	узкий и длинный мыс при слиянии двух рек; песчаная коса, намытая прибоем
T.SPUR	отрог	ответвление основной горной цепи
T.TAL	скат, покрытый осыпью	пологий спуск, покрытый обломками горных пород, осыпающимися в результате выветривания
T.TRGD	впадина между дюнами	понижение земной поверхности в пределах суши, на дне океанов и морей, расположенное между двумя дюнами
T.TRR	терраса	горизонтальная или слегка наклонная площадка, образующая уступ на склоне местности, естественного происхождения или устроенная искусственно
T.UPLD	плоскогорье	обширная возвышенность с равнинной или холмистой поверхностью
T.VAL	долина	удлинённая впадина между гор или в холмистой местности; равнина вдоль речного русла
T.VALG	висячая долина	боковая долина, днище которой оканчивается выше днища главной долины
T.VALS	долины	удлинённые впадины между гор или в холмистой местности; равнины вдоль речного русла
T.VALX	участок долины	
T.VLC	вулкан	конусообразная гора с кратером на вершине, через который из недр земли извергаются огонь, лава, пепел, горячие газы, пары воды и обломки горных пород
U.APNU	береговой шельф	прибрежная мелководная зона океана (с глубинами до 200 м); материковая отмель
U.ARCU	дуга	территория, пространство, границы которого имеют форму изогнутой линии (например, дуга на юго-востоке Гавайского хребта)
U.ARRU	arrugado	an area of subdued corrugations off Baja California
U.BDLU	бордерленд	невысокий порог, отделяющий геосинклиналь от океана
U.BKSU	наносы	геологические образования, обязанные своим происхождением деятельности текучей воды; возвышенности на поверхности шельфа, не препятствующие судоходству
U.BNKU	нанос	геологическое образование, обязанное своим происхождением деятельности текучей воды; возвышенность на поверхности шельфа, не препятствующее судоходству
U.BSNU	впадина	понижение земной поверхности в пределах суши, на дне океанов и морей
U.CDAU	кордельера	горная цепь
U.CNSU	каньоны	глубокие речные долины с очень крутыми или отвесными склонами
U.CNYU	каньон	глубокая речная долина с очень крутыми или отвесными склонами
U.CRSU	материковое подножие	континентальное подножие, один из основных элементов подводной окраины материков; расположено между основанием материкового склона и внешней границей ложа океана
U.DEPU	пучина	водная глубь, морская бездна; глубокий провал в болоте, топь
U.EDGU	бровка шельфа	внешний край континентального шельфа
U.ESCU	утес	отвесная скала
U.FANU	конус выступа	аккумулятивная форма рельефа, образованная скоплением обломочных пород, вынесенных горными реками на предгорную равнину или в более плоскую широкую долину, где происходит резкое уменьшение живой силы потока
U.FLTU	низменность	равнина, расположенная не выше 200 м над уровнем моря; низменная территория, местность
U.FRZU	зона разломов земной коры	система крупных разломов (сбросов) и грабенов (рифтов)
U.FURU	желоб	длинная узкая впадина на дне океана или моря
U.GAPU	ущелье	узкая крутосклонная долина (обычно в пределах горной страны), промытая рекой в твёрдых коренных породах
U.GLYU	промоина	впадина в земле, промытая ливнем, образованная потоком воды
U.HLLU	холм	возвышенность, высота которой менее 500 метров
U.HLSU	холмы	возвышенности, высота которых менее 500 метров
U.HOLU	впадина	понижение земной поверхности в пределах суши, на дне океанов и морей
U.KNLU	возвышение морского дна	небольшая подводная возвышенность   округлой или овальной формы с пологими склонами
U.KNSU	возвышения морского дна	небольшие подводные возвышенности округлой или овальной формы с пологими склонами
U.LDGU	риф	надводные или подводные скалистые возвышения морского дна, опасные для судоходства
U.LEVU	насыпь	искусственное земляное возвышение, ограждающее каньон, речную долину или морской канал
U.MESU	столовая гора	гора с плоскими вершинами и более или менее крутыми, иногда ступенчатыми склонами
U.MNDU	могильный холм	низкий холмик округлой формы на месте погребения
U.MOTU	ров	длинное углубление, вырытое в земле
U.MTU	гора	значительная возвышенность, поднимающаяся над окружающей местностью
U.PKSU	пики	остроконечные горные вершины или высшие точки горной вершины вообще
U.PKU	пик	остроконечная горная вершина или высшая точка горной вершины вообще
U.PLNU	равнина	участок дна моря, океана без резких колебаний высот
U.PLTU	плато	возвышенная равнина, ограниченная чётко выраженными уступами, крутыми склонами
U.PNLU	шпиц	остроконечная скала
U.PRVU	провинция, физико-географическая	часть природной географической зоны в составе определенной физико-географической области; региональная единица физико-географического районирования. Физико-географические провинции выделяются по морфоструктурным особенностям рельефа и климату, а в горах - по характеру высотной поясности
U.RDGU	горный кряжи	цепи невысоких гор
U.RDSU	горный кряж	цепь невысоких гор
U.RFSU	рифы	надводные или подводные скалистые возвышения морского дна, опасные для судоходства
U.RFU	риф	надводные или подводные скалистые возвышения морского дна, опасные для судоходства
U.RISU	небольшое возвышение морского дна	участок морского дна,  возвышающийся над окружающим рельефом
U.SCNU	канал на дне океана	впадина на дне морского дна, с покатыми краями и защищенная с одной или двух сторон валом
U.SCSU	каналы на дне океана	впадины на дне морского дна с пологими склонами, защищенные с одной или двух сторон валом
U.SDLU	седловина подводной горной цепи	продолговатая впадина, понижение между вершинами подводного горного хребта или возвышенности
U.SHFU	шельф	прибрежная мелководная зона океана (с глубинами до 200 м); материковая отмель
U.SHLU	мелководье	участок (обычно прибрежный) реки, озера и т.п. с небольшой глубиной
U.SHSU	мелководья	участки (обычно прибрежные) реки, озера и т.п. с небольшой глубиной
U.SHVU	материковая отмель	относительно мелководная подводная равнина, прилегающая к берегам материков и генетически составляющая часть материковой платформы
U.SILU	порог	каменистое поперечное возвышение дна реки, нарушающее плавность её течения и затрудняющее судоходство
U.SLPU	откос	покатая поверхность горы, холма и т.п.; склон
U.SMSU	подводные горы	изолированные поднятия морского дна с относительной высотой более 500 м и четко выраженной конической или куполообразной одной или несколькими вершинами и крутыми склонами
U.SMU	подводная гора	изолированное поднятие морского дна с относительной высотой более 500 м и четко выраженной конической или куполообразной одной или несколькими вершинами и крутыми склонами
U.SPRU	хребет	ряд гор, тянущихся в одном направлении, горная цепь
U.TERU	терраса	горизонтальная или слегка наклонная площадка, образующая уступ на склоне местности, естественного происхождения или устроенная искусственно
U.TMSU	гайоты	плосковершинные подводные вулканические горы, встречающиеся одиночно или группами
U.TMTU	гайот	подводный плосковершинный вулкан
U.TNGU	коса	длинная узкая отмель, идущая от берега, или низменный узкий мыс
U.TRGU	впадина на дне океана с пологими склонами	углубление с пологими склонами  на дне океанов и морей
U.TRNU	впадина на дне океана с крутыми склонами	углубление с крутыми склонами на дне океанов и морей
U.VALU	лощина	овраг с пологими склонами
U.VLSU	лощины	овраги с пологими склонами
V.BUSH	кустарник	заросли куста
V.CULT	посевная площадь	площадь, предназначенная для возделывания многих с.-х. культур
V.FRST	лес	множество дикорастущих деревьев, расположенных на большом пространстве; пространство, обильно поросшее деревьями
V.FRSTF	окаменелый лес	значительное скопление древесных окаменелостей на небольшом участке
V.GRSLD	луг	пространство земли, покрытое травянистой растительностью; сенокосное, пастбищное угодье
V.GRVC	плантация кокосовых деревьев	большой участок земли, занятый кокосовыми деревьями
V.GRVO	плантация оливковых деревьев	большой участок земли, занятый оливковыми деревьями
V.GRVP	пальмовая роща	небольшой лесной участок, состоящий из пальмовых деревьев
V.GRVPN	сосновая роща	небольшой лесной участок, состоящий из сосен
V.HTH	верещатник	вересковые пустоши, тип растительности, представленный вечнозелёными кустарниками и кустарничками, преимущественно семейства вересковых, имеющих жёсткие узкие листья
V.MDW	луговина	небольшой луг, луг среди других угодий (лесных, пастбищных
V.OCH	фруктовый сад	участок земли, на котором выращивают фруктовые деревья
V.SCRB	кустарниковая заросль	густо разросшийся кустарник, массив трав, деревьев и т. п.
V.TREE	дерево	дерево (известное благодаря чему-л.), являющееся  достопримечательностью
V.TUND	тундра	тип растительности высоких широт Северного полушария Земли, характеризующийся развитием мохового и лишайникового покровов, наличием низкорослых кустарников и т.п.; природная зона с таким типом растительности
V.VIN	виноградник	участок, засаженный виноградом; виноградная плантация
V.VINS	виноградники	виноградные плантации
null	not available	
